0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
0	0.5	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
0	0.5	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0.25	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0	0	0.25	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0.0555555555555556	0	0	0.5	0	0	0
0.5	0	0	0.25	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0.0555555555555556	0	0	0.5	0	0	0
0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0
0	0	0	0	0.0909090909090909	0	0	0	0	0.25	0	0	0	0	0	0.5	0.0555555555555556	0	0	0	0	0	0
0	0	0	0	0.0909090909090909	0	0	0	0	0.25	0	0	0	0	0	1.83333333333333	0.0555555555555556	0	0.5	0	0	0	0
0	0	0	0	0.0909090909090909	0	0	1	1	0.25	0	0	0	0	0	0.333333333333333	0.0555555555555556	0	0.5	0	0	0	0
0	0	0	0.125	0.0909090909090909	0	0	0	0.166666666666667	0.25	0	0	0	0	0	0.833333333333333	0.0555555555555556	0	0	1	0	0	0
1	0	0	0.125	0.0909090909090909	0	0	0	0.166666666666667	0	0	0	0	0	0	0.666666666666667	0.0555555555555556	0	0	1	0	0	0
0	0	0	0.125	0.0909090909090909	0	0	0	0.166666666666667	0	0	1	0	0	0	0.166666666666667	0.0555555555555556	0	0	0	0	0	0
0	0	0	0.125	0.0909090909090909	0	0	0	0.166666666666667	0	0	0	0	0	0	0.166666666666667	0.0555555555555556	0.142857142857143	0	0	0	0	0
0	0	0	0.125	0.0909090909090909	0	0	0	0.166666666666667	0	0.2	0	0	0	0	0.166666666666667	0.0555555555555556	0.142857142857143	0	0.5	0	0	0
0	0	0	0.125	0.0909090909090909	0	0	0	0.166666666666667	0	0.2	0.0833333333333333	0	0	0	0.166666666666667	0.0555555555555556	0.142857142857143	0	0.5	0	0	0
0	0	0	0.125	0.0909090909090909	0	0	0.25	0	0.0769230769230769	0.2	0.0833333333333333	0	0	0	0.166666666666667	0.0555555555555556	0.142857142857143	0	0	0	0	0
0	0	0	0.125	1.42424242424242	0	0.0833333333333333	0.25	0	0.0769230769230769	2.7	0.0833333333333333	0	0	0	0	0.0555555555555556	0.142857142857143	0	0	0	0	0.25
0	0	0	0	0.333333333333333	0	0.0833333333333333	0.25	0	0.0769230769230769	1.2	0.0833333333333333	0	0	0	1.5	0.0555555555555556	0.142857142857143	0	0.5	0	0	0.25
